Year,Month,Day,Consumption
2015,02,12,6.36067
2015,02,13,5.93744
2015,02,14,4.89864
2015,02,15,4.23841
2015,02,16,5.91684
2015,02,17,6.14945
2015,02,18,5.93258
2015,02,19,5.76616
2015,02,20,5.27304
2015,02,21,4.01611
2015,02,22,3.59745
2015,02,23,5.58199
2015,02,24,5.68186
2015,02,25,5.74106
2015,02,26,5.69119
2015,02,27,5.36618
2015,02,28,3.81067
2015,03,01,3.91807
2015,03,02,5.25960
2015,03,03,5.72809
2015,03,04,5.52557
2015,03,05,5.77072
2015,03,06,5.55191
2015,03,07,4.47396
2015,03,08,3.58766
2015,03,09,4.89234
2015,03,10,5.52701
2015,03,11,5.32207
2015,03,12,5.57571
2015,03,13,5.49913
2015,03,14,3.66196
2015,03,15,3.46093
2015,03,16,5.20572
2015,03,17,5.55714
2015,03,18,5.30423
2015,03,19,5.39261
2015,03,20,5.18457
2015,03,21,4.47897
2015,03,22,3.78553
2015,03,23,5.42547
2015,03,24,5.40927
2015,03,25,5.69531
2015,03,26,5.60596
2015,03,27,5.22449
2015,03,28,4.54315
2015,03,29,3.73817
2015,03,30,4.93149
2015,03,31,5.24151
2015,04,01,5.28265
2015,04,02,4.99496
2015,04,03,4.52788
2015,04,04,3.94643
2015,04,05,3.76725
2015,04,06,3.81069
2015,04,07,4.97916
2015,04,08,5.02377
2015,04,09,4.94360
2015,04,10,4.73771
2015,04,11,3.32090
2015,04,12,3.68632
2015,04,13,4.70515
2015,04,14,5.05402
2015,04,15,5.03031
2015,04,16,4.99114
2015,04,17,4.90653
2015,04,18,3.70259
2015,04,19,3.29994
2015,04,20,4.69374
2015,04,21,4.94216
2015,04,22,5.02700
2015,04,23,4.77652
2015,04,24,4.45754
2015,04,25,3.50503
2015,04,26,2.61251
2015,04,27,4.71520
2015,04,28,4.92675
2015,04,29,4.95046
2015,04,30,4.42835
2015,05,01,2.96719
2015,05,02,3.23275
2015,05,03,2.93276
2015,05,04,4.64786
2015,05,05,4.84366
2015,05,06,4.70182
2015,05,07,4.75600
2015,05,08,4.57382
2015,05,09,3.32140
2015,05,10,3.10796
2015,05,11,4.60450
2015,05,12,4.70211
2015,05,13,4.93360
2015,05,14,3.14898
2015,05,15,3.93198
2015,05,16,3.24237
2015,05,17,3.35042
2015,05,18,4.82971
2015,05,19,4.92360
2015,05,20,4.90216
2015,05,21,4.79777
2015,05,22,4.41969
2015,05,23,2.88326
2015,05,24,2.73123
2015,05,25,4.50899
2015,05,26,5.00338
2015,05,27,4.96766
2015,05,28,4.73975
2015,05,29,4.18535
2015,05,30,3.31446
2015,05,31,2.86410
2015,06,01,4.62049
2015,06,02,4.61048
2015,06,03,4.52720
2015,06,04,4.43777
2015,06,05,3.84434
2015,06,06,2.53544
2015,06,07,2.48317
2015,06,08,4.20821
2015,06,09,4.58196
2015,06,10,4.45769
2015,06,11,4.43183
2015,06,12,3.86485
2015,06,13,2.45579
2015,06,14,2.39589
2015,06,15,4.13453
2015,06,16,4.45567
2015,06,17,4.60061
2015,06,18,4.27777
2015,06,19,2.90139
2015,06,20,2.71470
2015,06,21,2.59607
