MotherCompany,DaughterCompany,PodId,Year,Month,Day,Weekday,Consumption,Temperature,Date,Consumption Kwh
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,3,2,4.42725,17.7,7/3/2012,4427.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,4,3,4.43102,17.1,7/4/2012,4431.02
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,5,4,4.35175,18.3,7/5/2012,4351.75
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,6,5,4.2722,20.7,7/6/2012,4272.2
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,7,6,3.17371,18.6,7/7/2012,3173.71
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,8,7,3.04422,18.3,7/8/2012,3044.22
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,9,1,4.15696,14.7,7/9/2012,4156.96
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,10,2,4.3525,15.8,7/10/2012,4352.5
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,11,3,4.24331,16.6,7/11/2012,4243.31
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,12,4,4.25155,15.3,7/12/2012,4251.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,13,5,3.73127,15.7,7/13/2012,3731.27
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,14,6,2.74714,15.6,7/14/2012,2747.14
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,15,7,2.92761,15.3,7/15/2012,2927.61
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,16,1,3.89801,14.3,7/16/2012,3898.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,17,2,3.76043,14.3,7/17/2012,3760.43
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,18,3,3.78843,15.2,7/18/2012,3788.43
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,19,4,3.7627,14.4,7/19/2012,3762.7
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,20,5,3.65201,14.2,7/20/2012,3652.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,21,6,3.1703,15.1,7/21/2012,3170.3
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,22,7,2.9195,15.7,7/22/2012,2919.5
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,23,1,3.74542,20,7/23/2012,3745.42
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,24,2,3.8941,21.6,7/24/2012,3894.1
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,25,3,3.92479,17.7,7/25/2012,3924.79
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,26,4,3.85036,16.6,7/26/2012,3850.36
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,27,5,3.77432,19.6,7/27/2012,3774.32
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,28,6,2.85565,19,7/28/2012,2855.65
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,29,7,2.68523,17.8,7/29/2012,2685.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,30,1,3.73488,15.3,7/30/2012,3734.88
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,7,31,2,3.77369,15.3,7/31/2012,3773.69
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,1,3,3.82904,17.5,8/1/2012,3829.04
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,2,4,4.02804,19.5,8/2/2012,4028.04
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,3,5,3.58525,17.8,8/3/2012,3585.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,4,6,2.52715,17.8,8/4/2012,2527.15
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,5,7,2.3306,17.3,8/5/2012,2330.6
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,6,1,3.79218,16.2,8/6/2012,3792.18
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,7,2,3.86714,15.2,8/7/2012,3867.14
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,8,3,4.16591,14.2,8/8/2012,4165.91
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,9,4,4.05783,14.3,8/9/2012,4057.83
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,10,5,3.59388,14.5,8/10/2012,3593.88
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,11,6,2.56843,16.9,8/11/2012,2568.43
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,12,7,2.84965,17,8/12/2012,2849.65
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,13,1,4.14415,16.1,8/13/2012,4144.15
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,14,2,4.20728,17.8,8/14/2012,4207.28
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,15,3,4.14753,17.2,8/15/2012,4147.53
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,16,4,4.1788,17.5,8/16/2012,4178.8
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,17,5,3.86318,17,8/17/2012,3863.18
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,18,6,2.68147,19,8/18/2012,2681.47
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,19,7,2.04984,16.3,8/19/2012,2049.84
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,20,1,4.42448,15.6,8/20/2012,4424.48
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,21,2,4.37925,15.2,8/21/2012,4379.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,22,3,4.44084,14.4,8/22/2012,4440.84
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,23,4,4.46072,14.1,8/23/2012,4460.72
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,24,5,3.69225,14.9,8/24/2012,3692.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,25,6,2.52243,13.9,8/25/2012,2522.43
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,26,7,2.59223,11.4,8/26/2012,2592.23
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,27,1,4.29773,10.2,8/27/2012,4297.73
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,28,2,4.30688,15.4,8/28/2012,4306.88
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,29,3,4.37973,16.2,8/29/2012,4379.73
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,30,4,4.45904,14.8,8/30/2012,4459.04
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,8,31,5,3.92147,14,8/31/2012,3921.47
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,9,1,6,2.62949,14.2,9/1/2012,2629.49
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,9,2,7,2.596,16.1,9/2/2012,2596
